VEC-00001 | 0.0100 | -0.1518 | 0.0100 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00002 | 0.1727 | -0.3831 | 0.1727 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00003 | -0.0267 | -0.5213 | -0.0267 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00004 | 0.0083 | -0.2316 | 0.0083 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00005 | -0.2181 | 0.5020 | 0.5020 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00006 | -0.5141 | 0.1182 | 0.1182 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00007 | 0.3317 | 0.3169 | 0.3317 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00008 | -0.5861 | 0.1462 | 0.1462 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00009 | -0.5639 | 0.4779 | 0.4779 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00010 | -0.0390 | 0.0564 | 0.0564 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00011 | 0.2016 | -0.3191 | 0.2016 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00012 | 0.3583 | -0.0957 | 0.3583 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00013 | -0.3613 | -0.3758 | -0.3613 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00014 | -0.3338 | -0.0534 | -0.0534 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00015 | 0.4882 | 0.1603 | 0.4882 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00016 | 0.2669 | -0.1964 | 0.2669 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00017 | -0.6296 | 0.4137 | 0.4137 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00018 | 0.3273 | -0.0726 | 0.3273 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00019 | -0.8350 | 0.6694 | 0.6694 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00020 | 0.1917 | -0.0306 | 0.1917 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00021 | -0.4684 | 0.2569 | 0.2569 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00022 | -0.2113 | 0.0220 | 0.0220 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00023 | 0.0564 | 0.2256 | 0.2256 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00024 | 0.1584 | -0.1721 | 0.1584 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00025 | 0.5884 | -0.0953 | 0.5884 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00026 | -0.1157 | -0.2706 | -0.1157 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00027 | -0.5118 | 0.4723 | 0.4723 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00028 | 0.1507 | -0.0879 | 0.1507 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00029 | 0.1359 | 0.4079 | 0.4079 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00030 | -0.4438 | 0.1109 | 0.1109 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00031 | 0.2507 | 0.0378 | 0.2507 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00032 | 0.7785 | -0.8339 | 0.7785 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00033 | 0.5824 | -0.5780 | 0.5824 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00034 | 0.2607 | 0.2882 | 0.2882 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00035 | 0.8470 | -0.2094 | 0.8470 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00036 | 0.2472 | -0.5580 | 0.2472 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00037 | 0.2755 | -0.8338 | 0.2755 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00038 | -0.2691 | 0.0125 | 0.0125 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00039 | 0.5313 | -0.4690 | 0.5313 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00040 | -0.1469 | 0.0613 | 0.0613 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00041 | 0.8412 | -0.3016 | 0.8412 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00042 | -0.6736 | 0.0036 | 0.0036 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00043 | 0.4760 | -0.7981 | 0.4760 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00044 | 0.1794 | -0.1859 | 0.1794 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00045 | -0.5503 | 0.3992 | 0.3992 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00046 | 0.4668 | 0.1191 | 0.4668 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00047 | -0.5295 | -0.2935 | -0.2935 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00048 | -0.1691 | 0.2572 | 0.2572 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00049 | 0.4891 | -0.1246 | 0.4891 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00050 | 0.3536 | 0.1622 | 0.3536 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00051 | -0.2845 | 0.2803 | 0.2803 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00052 | 0.2257 | 0.0606 | 0.2257 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00053 | 0.0980 | -0.0389 | 0.0980 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00054 | -0.3349 | 0.0389 | 0.0389 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00055 | -0.6301 | 0.3343 | 0.3343 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00056 | 0.3194 | 0.1314 | 0.3194 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00057 | -0.2708 | 0.1326 | 0.1326 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00058 | -0.5031 | 0.0788 | 0.0788 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00059 | 0.0719 | -0.1705 | 0.0719 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00060 | -0.4399 | 0.7166 | 0.7166 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00061 | 0.2738 | -0.3797 | 0.2738 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00062 | 0.1696 | -0.1909 | 0.1696 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00063 | 0.0544 | 0.3142 | 0.3142 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00064 | 0.2599 | 0.3474 | 0.3474 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00065 | 0.1802 | -0.1763 | 0.1802 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00066 | 0.2088 | 0.2668 | 0.2668 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00067 | 0.3216 | 0.3479 | 0.3479 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00068 | 0.6219 | -0.6864 | 0.6219 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00069 | 0.0851 | -0.0935 | 0.0851 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00070 | -0.2459 | 0.3718 | 0.3718 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00071 | -0.1187 | -0.5059 | -0.1187 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00072 | 0.1097 | 0.3810 | 0.3810 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00073 | 0.0544 | -0.0288 | 0.0544 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00074 | -0.2777 | -0.5316 | -0.2777 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00075 | -0.2031 | 0.0103 | 0.0103 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00076 | -0.5788 | -0.2865 | -0.2865 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00077 | 0.1338 | 0.0155 | 0.1338 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00078 | -0.7063 | 0.5082 | 0.5082 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00079 | -0.4152 | 0.4248 | 0.4248 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00080 | -0.0328 | -0.6824 | -0.0328 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00081 | -0.5651 | 0.2279 | 0.2279 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00082 | 0.1081 | -0.3502 | 0.1081 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00083 | -0.4444 | 0.5701 | 0.5701 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00084 | -0.4245 | -0.2502 | -0.2502 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00085 | -0.5095 | 0.6994 | 0.6994 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00086 | 0.2954 | -0.2299 | 0.2954 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00087 | 0.0367 | -0.5971 | 0.0367 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00088 | -0.2497 | -0.3471 | -0.2497 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00089 | -0.2349 | 0.4111 | 0.4111 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00090 | 0.2643 | -0.1456 | 0.2643 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00091 | 0.1745 | -0.3541 | 0.1745 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00092 | -0.1717 | -0.0032 | -0.0032 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00093 | 0.0898 | 0.0375 | 0.0898 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00094 | 0.5540 | -0.4753 | 0.5540 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00095 | 0.0404 | 0.2440 | 0.2440 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00096 | -0.6458 | 0.5270 | 0.5270 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00097 | -0.4724 | 0.3426 | 0.3426 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00098 | 0.1677 | -0.0286 | 0.1677 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00099 | 0.1657 | -0.1946 | 0.1657 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00100 | 0.3898 | -0.1004 | 0.3898 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00101 | -0.0411 | 0.4946 | 0.4946 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00102 | -0.4723 | 0.8710 | 0.8710 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00103 | 0.1810 | -0.6659 | 0.1810 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00104 | 0.6453 | -0.7962 | 0.6453 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00105 | 0.0317 | 0.0073 | 0.0317 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00106 | -0.3178 | 0.0070 | 0.0070 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00107 | -0.3182 | -0.1009 | -0.1009 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00108 | 0.0541 | -0.1830 | 0.0541 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00109 | 0.3169 | -0.4996 | 0.3169 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
